id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
612532,82,MissedShots,97.0999984741211,58.5,0.32564273476600647,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27177,Getafe,Barcelona,1,1,2025-01-18 20:00:00,Lamine Yamal,Chipped
614173,4,BlockedShot,88.30000305175781,69.30000305175781,0.05700962245464325,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27184,Barcelona,Valencia,7,1,2025-01-26 20:00:00,Álex Balde,Pass
614177,13,Goal,90.4000015258789,32.400001525878906,0.45783698558807373,Raphinha,h,8026,OpenPlay,2024,RightFoot,27184,Barcelona,Valencia,7,1,2025-01-26 20:00:00,Fermín López,TakeOn
614185,48,ShotOnPost,91.19999694824219,35.79999923706055,0.43582916259765625,Raphinha,h,8026,OpenPlay,2024,RightFoot,27184,Barcelona,Valencia,7,1,2025-01-26 20:00:00,Lamine Yamal,Throughball
615359,4,MissedShots,83.5999984741211,67.5,0.038534581661224365,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27200,Barcelona,Alaves,1,0,2025-02-02 13:00:00,Lamine Yamal,Chipped
616748,14,SavedShot,76.5,59.70000076293945,0.02625093422830105,Raphinha,a,8026,OpenPlay,2024,RightFoot,27206,Sevilla,Barcelona,1,4,2025-02-09 20:00:00,Gavi,Pass
616757,54,Goal,78.5,41.0,0.03711702302098274,Raphinha,a,8026,OpenPlay,2024,RightFoot,27206,Sevilla,Barcelona,1,4,2025-02-09 20:00:00,Pau Cubarsí,TakeOn
618052,7,MissedShots,90.69999694824219,47.099998474121094,0.05306427925825119,Raphinha,h,8026,OpenPlay,2024,Head,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,,Aerial
618055,19,MissedShots,93.69999694824219,63.59999847412109,0.09841004759073257,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,Álex Balde,Pass
618056,22,SavedShot,88.69999694824219,64.80000305175781,0.33157867193222046,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,Pedri,Throughball
618067,70,SavedShot,94.80000305175781,70.9000015258789,0.08698892593383789,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,,TakeOn
618068,71,MissedShots,89.19999694824219,42.5,0.4276757538318634,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,Dani Olmo,Pass
618071,81,SavedShot,95.0999984741211,65.80000305175781,0.022700436413288116,Raphinha,h,8026,OpenPlay,2024,Head,27214,Barcelona,Rayo Vallecano,1,0,2025-02-17 20:00:00,Lamine Yamal,Cross
618779,27,SavedShot,81.5999984741211,17.299999237060547,0.04572565108537674,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27226,Las Palmas,Barcelona,0,2,2025-02-22 20:00:00,,Standard
618782,43,BlockedShot,75.5999984741211,52.400001525878906,0.07833543419837952,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27226,Las Palmas,Barcelona,0,2,2025-02-22 20:00:00,,Standard
618787,60,MissedShots,92.0,50.9000015258789,0.06556238234043121,Raphinha,a,8026,OpenPlay,2024,Head,27226,Las Palmas,Barcelona,0,2,2025-02-22 20:00:00,Lamine Yamal,Aerial
620519,43,BlockedShot,74.5,48.79999923706055,0.03078578971326351,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27232,Barcelona,Real Sociedad,4,0,2025-03-02 15:15:00,Dani Olmo,Pass
620523,49,MissedShots,76.9000015258789,26.0,0.04987114667892456,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27232,Barcelona,Real Sociedad,4,0,2025-03-02 15:15:00,,Standard
623784,52,MissedShots,75.19999694824219,53.599998474121094,0.018634457141160965,Raphinha,a,8026,FromCorner,2024,LeftFoot,27252,Atletico Madrid,Barcelona,2,4,2025-03-16 20:00:00,,None
